item_name,rarity,jumlah_didapat
Bennett,4,21
Noelle,4,15
Lynette,4,14
Barbara,4,14
Chevreuse,4,13
Xiangling,4,12
Shikanoin Heizou,4,11
Rosaria,4,11
Fischl,4,10
Gaming,4,10
Yaoyao,4,10
Dori,4,10
Faruzan,4,9
Sethos,4,9
Diona,4,9
Aino,4,9
Collei,4,9
Kuki Shinobu,4,8
Xingqiu,4,8
Yun Jin,4,8
Layla,4,8
Lan Yan,4,8
Sucrose,4,8
Kachina,4,8
Thoma,4,7
Iansan,4,7
Charlotte,4,7
Xinyan,4,6
Ororon,4,6
Mika,4,6
Beidou,4,6
Diluc,5,6
Kaveh,4,5
Yanfei,4,5
Ifa,4,5
Kirara,4,5
Jahoda,4,4
Chongyun,4,4
Freminet,4,4
Kujou Sara,4,4
Ningguang,4,3
Yelan,5,3
Tighnari,5,3
Gorou,4,3
Razor,4,3
Furina,5,3
Candace,4,3
Dehya,5,3
Sayu,4,3
Dahlia,4,2
Raiden Shogun,5,2
Neuvillette,5,2
Nicole,5,2
Yumemizuki Mizuki,5,2
Keqing,5,2
Kaeya,4,2
Qiqi,5,2
Jean,5,2
Citlali,5,1
Alhaitham,5,1
Arlecchino,5,1
Amber,4,1
Durin,5,1
Columbina,5,1
Cyno,5,1
Clorinde,5,1
Hu Tao,5,1
Illuga,4,1
Escoffier,5,1
Kaedehara Kazuha,5,1
Mona,5,1
Mavuika,5,1
Linnea,5,1
Lisa,4,1
Lauma,5,1
Kamisato Ayato,5,1
Ineffa,5,1
Nefer,5,1
Sandrone,5,1
Sangonomiya Kokomi,5,1
Nahida,5,1
Nilou,5,1
Xilonen,5,1
Skirk,5,1
Yae Miko,5,1
Yoimiya,5,1
