item_name,rarity,jumlah_didapat
Favonius Warbow,4,20
Sacrificial Bow,4,19
Rust,4,17
Favonius Codex,4,16
Favonius Sword,4,16
Sacrificial Sword,4,16
Favonius Lance,4,15
Lion's Roar,4,14
Rainslasher,4,14
Sacrificial Greatsword,4,14
The Stringless,4,13
Favonius Greatsword,4,13
The Widsith,4,13
Sacrificial Fragments,4,12
The Flute,4,11
The Bell,4,9
Eye of Perception,4,8
Dawning Frost,4,8
Dragon's Bane,4,8
Makhaira Aquamarine,4,5
Wolf's Gravestone,5,3
Wine and Song,4,3
Aquila Favonia,5,3
Skyward Harp,5,2
Xiphos' Moonlight,4,2
Sacrificer's Staff,4,2
Lost Prayer to the Sacred Winds,5,2
Lithic Spear,4,2
A Thousand Floating Dreams,5,1
Amos' Bow,5,1
Freedom-Sworn,5,1
Elegy for the End,5,1
Azurelight,5,1
Athame Artis,5,1
Angelos' Heptades,5,1
Aqua Simulacra,5,1
Light of Foliar Incision,5,1
Fruitful Hook,4,1
Skyward Atlas,5,1
Primordial Jade Winged-Spear,5,1
Lumidouce Elegy,5,1
Lithic Blade,4,1
Moonweaver's Dawn,4,1
Skyward Spine,5,1
The Dockhand's Assistant,4,1
Staff of Homa,5,1
Symphonist of Scents,5,1
The Alley Flash,4,1
Wandering Evenstar,4,1
Verdict,5,1
Tome of the Eternal Flow,5,1
Waveriding Whirl,4,1
